Date,Message
2026-08-07T21:57:00.000+01:00,GCLOSEHDR;1970-01-01 01:00;2026-08-10 03:28;304;517;8
2026-08-07T21:57:00.000+01:00,GCLOSE;167;EURUSD;A2:14;2026-08-05 18:37;2026-08-05 18:45;2;long;2026-08-05 18:31
2026-08-07T21:57:00.000+01:00,GCLOSE;168;AUDCAD;A2:14;2026-08-05 18:50;2026-08-05 18:57;3;long;2026-08-05 18:49
2026-08-07T21:57:00.000+01:00,GCLOSE;169;USDCAD;A2:14;2026-08-05 19:43;2026-08-05 19:44;1;long;2026-08-05 19:40
2026-08-07T21:57:00.000+01:00,GCLOSE;170;CADCHF;C1:11;2026-08-05 20:05;2026-08-05 20:06;1;long;2026-08-05 20:04
2026-08-07T21:57:00.000+01:00,GCLOSE;171;USDJPY;A2:14;2026-08-05 19:20;2026-08-05 20:16;3;long;2026-08-05 19:19
2026-08-07T21:57:00.000+01:00,GCLOSE;172;AUDCAD;C2:29;2026-08-05 19:35;2026-08-05 20:57;3;short;2026-08-05 19:34
2026-08-07T21:57:00.000+01:00,GCLOSE;173;EURCAD;A2:14;2026-08-05 21:20;2026-08-05 21:21;1;short;2026-08-05 21:19
2026-08-07T21:57:00.000+01:00,GCLOSE;174;EURCAD;B2:28;2026-08-05 21:43;2026-08-05 22:19;2;long;2026-08-05 21:23
2026-08-07T21:57:00.000+01:00,GCLOSE;175;AUDCHF;B1:25;2026-08-05 22:13;2026-08-05 22:19;3;short;2026-08-05 21:51
2026-08-07T21:57:00.000+01:00,GCLOSE;176;USDJPY;B2:28;2026-08-05 22:40;2026-08-05 22:42;2;short;2026-08-05 22:19
2026-08-07T21:57:00.000+01:00,GCLOSE;177;USDJPY;A2:14;2026-08-05 22:57;2026-08-05 22:58;1;short;2026-08-05 22:52
2026-08-07T21:57:00.000+01:00,GCLOSE;178;EURUSD;A2:14;2026-08-05 23:30;2026-08-05 23:31;1;long;2026-08-05 22:59
2026-08-07T21:57:00.000+01:00,GCLOSE;179;EURGBP;B2:28;2026-08-05 23:51;2026-08-05 23:52;1;long;2026-08-05 23:46
